Latitude,Longitude,SnakeType
7.041947299999999,79.8800832,Cobra
6.8979941,79.9222869,Russell's Viper
6.9271,79.861,cobra
6.9271,79.861,cobra
6.9271,79.861,cobra
7.0668,79.9041,Russell's Viper
7.57303,79.807114,Russell's Viper
6.053519,80.220978,Russell's Viper
6.053519,80.220978,Russell's Viper
7.57303,79.807114,Russell's Viper
7.57303,79.807114,Russell's Viper
7.57303,79.807114,Russell's Viper
7.2008,79.8737,Russell's Viper
7.562,79.8017,Russell's Viper
7.2008,79.8737,Russell's Viper
7.2008,79.8737,Russell's Viper
7.4972,79.8413,Cobra
7.4972,79.8413,Cobra
7.4972,79.8413,Cobra
7.4972,79.8413,Russell's Viper
7.4972,79.8413,Cobra
7.4972,79.8413,Russell's Viper
7.4972,79.8413,Cobra
7.4972,79.8413,Cobra
7.4972,79.8413,Cobra
7.4831328,79.8262902,Russell's Viper
7.4972,79.8413,Cobra
7.0278,79.8983,Cobra
7.0278,79.8983,Cobra
7.4972,79.8413,Cobra
7.4831329,79.8262901,Cobra
6.055832,80.2219804,Cobra
6.055832,80.2219805,Russell's Viper
6.055832,80.2219804,Cobra
6.0558153,80.2220226,Cobra
